"","Ticker","Book/sh","Cash/sh","Dividend","Dividend %","Employees","Income","Index","Market Cap","Optionable","Recom","Sales","Shortable","Current Ratio","Debt/Eq","Forward P/E","LT Debt/Eq","P/B","P/C","P/E","P/FCF","P/S","PEG","Quick Ratio","SMA20","Earnings","EPS (ttm)","EPS next 5Y","EPS next Q","EPS past 5Y","EPS Q/Q","EPS this Y","Sales past 5Y","Sales Q/Q","SMA50","Gross Margin","Insider Own","Insider Trans","Inst Own","Inst Trans","Oper. Margin","Payout","Profit Margin","ROA","ROE","ROI","SMA200","52W High","52W Low","52W Range","Avg Volume","Rel Volume","RSI (14)","Short Float","Short Ratio","Shs Float","Shs Outstand","Target Price","Volume","ATR","Beta","Change","Perf Half Y","Perf Month","Perf Quarter","Perf Week","Perf Year","Perf YTD","Prev Close","Price","Volatility"
"220","HBI","3.11","0.73","0.60","3.79%","68000","559.20M","S&P 500","5.78B","Yes","2.60","6.97B","Yes","1.80","3.54","8.98","3.23","5.09","21.66","10.34","17.51","0.83","3.38","0.70","3.21%","Oct 31 BMO","1.53","3.06%","0.54","13.20%","8.30%","7.00%","8.00%","2.70%","5.70%","39.60%","0.60%","1.25%","94.30%","0.20%","12.70%","38.60%","8.10%","7.40%","56.50%","15.60%","-5.23%","-20.43%","33.28%","11.57 - 19.38","5.35M","1.62","56.95","16.03%","10.70","357.07M","364.64M","17.92","6,344,095","0.48","1.19","-2.65%","-16.15%","6.52%","-4.17%","7.39%","-7.15%","26.42%","15.84","15.42","3.09% 3.06%"
"221","HCA","-11.40","7.24","1.60","1.30%","262000","3.34B","S&P 500","41.22B","Yes","1.90","48.84B","Yes","1.40","-","10.80","-","-","16.96","12.92","15.84","0.84","1.26","1.20","3.18%","Oct 29 BMO","9.51","10.24%","2.13","22.00%","14.30%","34.70%","6.40%","9.30%","0.61%","83.50%","0.10%","-19.01%","73.20%","0.41%","14.30%","14.10%","7.50%","8.80%","-77.50%","18.40%","-4.69%","-16.44%","11.67%","110.31 - 147.42","1.59M","0.55","56.40","1.10%","1.86","267.91M","335.69M","152.46","644,250","2.54","0.89","0.31%","6.56%","-2.17%","-11.96%","3.58%","-9.37%","-1.33%","122.80","123.18","1.52% 2.06%"
"222","HCP","12.65","0.26","1.48","4.00%","201","976.10M","S&P 500","18.27B","Yes","2.20","1.83B","Yes","-","1.04","88.31","1.04","2.92","140.01","18.41","-","10.01","7.36","-","3.97%","Oct 30 AMC","2.01","2.50%","0.05","2.70%","-115.30%","144.40%","-2.50%","4.70%","6.55%","59.40%","0.10%","-7.22%","98.40%","0.35%","17.70%","71.70%","53.50%","7.40%","17.00%","3.60%","16.61%","1.12%","45.57%","25.73 - 37.04","2.78M","0.53","76.55","4.61%","8.14","490.11M","493.81M","35.72","1,068,914","0.57","0.20","1.23%","24.04%","5.87%","16.57%","1.23%","44.08%","32.47%","37.00","37.46","1.40% 1.39%"
"223","HD","-1.06","2.33","5.44","2.30%","413000","11.12B","DJIA S&P500","259.26B","Yes","2.20","110.01B","Yes","1.10","-","21.61","-","-","101.79","23.76","45.41","2.36","2.78","0.30","3.67%","Nov 19 BMO","9.97","8.54%","2.53","20.80%","3.70%","30.50%","6.50%","1.20%","6.09%","34.20%","0.10%","-23.51%","72.70%","0.23%","14.30%","47.40%","10.20%","23.30%","-","44.00%","17.49%","0.08%","50.78%","158.09 - 238.17","3.73M","0.63","69.12","1.12%","3.30","1.09B","1.10B","230.85","1,716,977","3.29","1.03","0.68%","15.13%","2.57%","11.14%","2.23%","22.31%","37.80%","236.77","238.37","0.99% 1.46%"
"224","HES","30.75","7.35","1.00","1.53%","1708","-47.00M","S&P 500","19.58B","Yes","2.40","6.68B","Yes","1.60","0.73","64.26","0.73","2.12","8.87","-","12.79","2.93","-","1.50","2.03%","Oct 30 BMO","-0.16","-","-0.22","-16.00%","95.80%","91.60%","-11.80%","8.20%","2.57%","69.70%","0.50%","-47.24%","94.10%","0.37%","11.70%","-","-0.70%","-0.20%","-0.50%","0.90%","7.82%","-8.75%","82.18%","35.59 - 71.06","3.02M","0.38","51.82","4.07%","3.63","269.41M","300.56M","71.93","829,746","2.08","1.95","-0.49%","-1.06%","-2.62%","7.51%","-1.14%","-0.97%","60.89%","65.16","64.84","2.42% 2.81%"
"225","HFC","35.51","5.40","1.32","2.40%","3622","924.30M","S&P 500","9.33B","Yes","2.90","17.79B","Yes","2.10","0.41","10.66","0.41","1.55","10.20","10.36","6.12","0.52","-","1.10","2.75%","Oct 31 BMO","5.32","-10.33%","1.37","11.00%","-40.50%","120.90%","-2.60%","7.00%","9.81%","21.10%","0.60%","0.53%","88.40%","0.42%","8.10%","24.40%","5.20%","8.00%","15.50%","15.20%","11.58%","-21.28%","45.00%","37.73 - 69.50","1.88M","0.60","61.78","5.38%","4.69","163.74M","169.36M","56.87","829,909","1.37","1.45","-0.71%","16.39%","3.86%","13.54%","3.63%","-18.09%","7.79%","55.10","54.71","2.33% 2.26%"
"226","HIG","41.39","0.63","1.20","2.05%","18500","1.58B","S&P 500","21.10B","Yes","2.30","19.51B","Yes","-","0.30","10.65","0.27","1.42","93.36","13.55","10.27","1.08","1.49","-","-0.24%","Oct 24 AMC","4.33","9.06%","1.23","9.80%","-14.50%","133.90%","-1.80%","6.30%","-0.06%","-","0.20%","-23.84%","94.80%","0.28%","11.20%","26.70%","8.30%","2.50%","11.90%","10.00%","10.74%","-3.35%","45.98%","40.54 - 61.23","1.78M","0.90","50.10","0.79%","1.59","359.64M","359.86M","64.00","1,175,242","0.85","0.65","0.94%","15.10%","-3.60%","2.66%","0.46%","25.79%","31.90%","58.63","59.18","1.35% 1.32%"
"227","HII","39.04","0.71","3.44","1.62%","40000","687.00M","S&P 500","8.62B","Yes","2.50","8.55B","Yes","1.10","1.04","12.53","1.04","5.42","297.33","13.11","-","1.01","-","1.00","0.27%","Nov 07 BMO","16.15","-2.61%","3.66","29.80%","-43.10%","63.40%","3.70%","8.30%","-0.02%","19.20%","0.20%","-9.45%","89.70%","1.25%","9.80%","20.40%","8.00%","10.20%","42.10%","29.20%","-0.96%","-13.12%","21.00%","173.80 - 242.05","272.94K","0.42","49.46","2.25%","3.33","40.41M","40.72M","243.38","83,163","4.03","1.18","-0.68%","-4.14%","-3.62%","-7.94%","1.51%","-10.00%","11.27%","211.75","210.30","1.52% 1.83%"
"228","HLT","-0.10","2.19","0.60","0.65%","169000","817.00M","S&P 500","26.74B","Yes","2.20","9.23B","Yes","0.80","-","21.14","-","-","42.11","33.42","24.15","2.90","2.27","0.80","-0.94%","Oct 23 BMO","2.76","14.75%","1.02","13.60%","24.30%","72.10%","-1.80%","8.40%","-1.64%","39.70%","0.30%","-2.43%","-","0.22%","16.70%","21.90%","8.70%","5.50%","269.10%","14.50%","3.32%","-9.64%","43.33%","63.76 - 101.14","1.86M","1.12","46.39","1.96%","2.97","282.37M","290.00M","102.09","1,526,696","1.98","1.09","-0.88%","5.70%","-3.30%","-2.46%","0.71%","23.54%","28.41%","92.20","91.39","2.05% 1.93%"
"229","HOG","12.03","5.82","1.50","4.09%","5300","439.40M","S&P 500","5.83B","Yes","2.80","5.48B","Yes","1.20","3.90","10.22","2.43","3.05","6.30","13.48","11.73","1.06","1.59","1.00","4.90%","Oct 22 BMO","2.72","8.50%","0.50","-0.50%","-15.30%","-3.70%","-0.60%","-4.70%","8.68%","36.20%","0.10%","-29.09%","99.10%","0.31%","10.50%","54.70%","8.00%","4.10%","22.90%","6.00%","3.29%","-15.76%","21.99%","30.17 - 43.69","1.89M","0.62","63.44","11.00%","9.10","156.20M","158.81M","37.91","853,630","1.07","1.21","0.29%","-10.25%","5.98%","5.31%","8.58%","-10.97%","7.56%","36.70","36.81","2.65% 3.00%"
"230","HOLX","8.24","1.59","-","-","6252","-21.30M","S&P 500","13.27B","Yes","2.30","3.31B","Yes","1.60","1.39","18.62","1.27","5.99","31.02","-","22.69","4.00","-","1.10","1.38%","Nov 06 AMC","-0.09","8.15%","0.65","17.60%","5.90%","-162.90%","5.20%","3.40%","1.04%","51.80%","0.60%","-11.36%","98.80%","0.59%","1.80%","-","-0.90%","-0.40%","-1.30%","-5.60%","6.07%","-4.38%","33.19%","37.47 - 52.19","1.71M","0.76","54.06","1.28%","1.99","266.51M","268.93M","53.42","954,667","0.94","0.78","1.12%","13.71%","-1.28%","2.24%","1.46%","19.58%","20.07%","49.35","49.90","1.19% 1.94%"
"231","HON","24.71","13.75","3.60","2.15%","114000","6.58B","S&P 500","121.15B","Yes","1.90","38.62B","Yes","1.20","0.91","18.96","0.48","6.78","12.18","18.93","39.22","3.14","2.90","1.00","0.85%","Oct 17 BMO","8.85","6.54%","2.01","11.30%","25.30%","42.10%","1.40%","-15.30%","0.50%","32.10%","0.10%","-4.83%","78.00%","0.45%","19.20%","33.50%","18.20%","11.90%","38.40%","18.60%","2.10%","-7.14%","34.22%","123.48 - 178.47","2.69M","1.32","53.21","0.80%","2.12","716.71M","723.20M","182.75","2,603,089","2.77","1.11","-1.07%","-0.91%","-0.27%","-3.16%","4.07%","8.44%","26.79%","167.52","165.73","1.35% 1.49%"
"232","HP","37.42","3.48","2.84","7.75%","8780","-85.40M","S&P 500","4.01B","Yes","2.50","2.85B","Yes","2.90","0.12","32.04","0.12","0.98","10.54","-","-","1.41","-","2.50","-6.56%","Nov 14 BMO","-0.78","-","0.25","-15.10%","-","89.70%","-6.00%","6.00%","-8.07%","36.10%","3.10%","0.00%","98.70%","0.21%","0.20%","-","-2.60%","-1.20%","-1.70%","0.10%","-27.51%","-46.44%","1.97%","35.74 - 68.05","1.61M","0.67","37.70","7.15%","4.73","106.20M","109.43M","48.16","793,574","1.63","1.62","-0.55%","-41.38%","-15.90%","-28.53%","-0.24%","-47.03%","-23.55%","36.65","36.45","3.60% 3.57%"
"233","HPE","13.14","2.77","0.45","2.96%","60000","1.02B","S&P 500","20.29B","Yes","2.90","29.87B","Yes","0.90","0.72","8.49","0.60","1.16","5.49","20.92","70.94","0.68","2.49","0.80","5.01%","Aug 27 AMC","0.73","8.41%","0.46","4.70%","-103.60%","427.60%","-11.70%","-7.00%","8.24%","32.00%","0.10%","-11.73%","85.00%","0.25%","5.30%","-","-0.60%","-0.40%","-1.00%","7.10%","2.74%","-9.78%","26.67%","12.09 - 16.97","9.53M","0.72","64.42","3.53%","4.82","1.30B","1.33B","16.05","5,013,164","0.39","1.63","0.66%","-8.70%","3.19%","2.49%","7.80%","-1.93%","15.14%","15.21","15.31","2.23% 2.57%"
"234","HPQ","-0.75","3.28","0.64","3.77%","55000","4.24B","S&P 500","25.42B","Yes","3.00","58.72B","Yes","0.80","-","7.60","-","-","5.17","6.23","7.44","0.43","1.64","0.60","-3.44%","Nov 21 AMC","2.72","3.80%","0.58","-7.70%","37.90%","18.10%","-12.20%","0.10%","-7.27%","18.60%","0.23%","-16.06%","84.10%","0.25%","6.80%","23.40%","7.20%","12.80%","-331.00%","70.80%","-15.26%","-34.16%","6.31%","15.93 - 25.72","11.97M","0.68","40.66","1.33%","1.65","1.48B","1.50B","19.27","5,983,666","0.47","1.47","-0.15%","-17.35%","-9.35%","-20.71%","5.80%","-29.22%","-17.11%","16.96","16.93","2.19% 2.19%"
"235","HRB","1.44","3.03","1.04","4.38%","3100","447.30M","S&P 500","4.76B","Yes","3.10","3.10B","Yes","1.30","0.00","11.60","5.14","16.47","7.83","11.25","24.57","1.54","1.12","1.30","-0.48%","Aug 28 AMC","2.11","10.00%","-0.92","3.50%","-0.70%","-27.80%","0.50%","3.60%","-5.78%","43.10%","0.60%","-0.25%","-","0.34%","19.40%","47.90%","13.70%","15.10%","288.60%","25.40%","-9.39%","-20.98%","1.94%","22.96 - 29.62","2.97M","0.49","38.72","19.62%","13.19","199.79M","200.72M","25.40","1,047,349","0.43","0.23","-1.33%","-12.15%","-1.37%","-15.35%","0.38%","-11.36%","-6.50%","23.72","23.41","1.71% 1.89%"
"236","HRL","11.02","1.06","0.84","2.06%","18700","991.40M","S&P 500","22.09B","Yes","3.20","9.52B","Yes","2.10","0.00","23.28","0.04","3.71","38.46","22.49","63.67","2.32","4.50","1.10","-4.22%","Aug 22 BMO","1.82","5.00%","0.46","12.10%","-5.10%","10.00%","1.80%","-2.90%","-3.95%","20.30%","48.20%","-0.09%","47.30%","0.79%","12.60%","43.10%","10.30%","12.20%","17.10%","15.40%","-2.43%","-11.84%","10.23%","37.00 - 46.26","2.52M","0.39","36.69","13.81%","15.07","274.66M","540.59M","38.33","710,076","0.70","0.06","-0.18%","1.16%","-4.89%","-0.97%","-1.94%","-1.07%","-4.26%","40.86","40.78","1.48% 1.44%"
"237","HSIC","19.08","0.58","-","-","18000","477.90M","S&P 500","9.34B","Yes","2.80","11.46B","Yes","1.70","0.43","17.01","0.34","3.33","109.99","20.18","17.71","0.81","5.23","1.00","0.80%","Nov 05 BMO","3.15","3.86%","0.86","6.10%","8.90%","-4.80%","6.70%","5.70%","0.97%","28.90%","0.70%","-5.21%","-","0.23%","5.90%","0.00%","4.20%","6.10%","16.60%","12.00%","-1.23%","-13.65%","11.12%","56.58 - 72.81","1.18M","0.73","52.31","13.16%","16.43","146.71M","146.94M","65.71","626,637","1.39","0.86","-1.07%","3.33%","1.08%","-5.85%","1.88%","-4.70%","3.24%","63.55","62.87","2.10% 2.00%"
"238","HST","10.10","1.53","0.80","4.87%","184","1.10B","S&P 500","11.88B","Yes","2.80","5.53B","Yes","-","0.52","20.89","0.52","1.63","10.73","11.09","31.34","2.15","0.39","-","-1.67%","Nov 05 AMC","1.48","28.40%","0.43","40.30%","37.00%","90.30%","1.30%","-2.30%","-0.63%","-","1.25%","-0.05%","-","-0.17%","10.70%","54.00%","19.80%","8.90%","14.70%","3.40%","-8.60%","-19.02%","6.22%","15.51 - 20.34","7.15M","0.44","46.78","5.73%","5.79","721.63M","723.33M","18.85","2,324,157","0.33","1.14","0.33%","-13.12%","-5.09%","-7.07%","-0.55%","-15.24%","-1.50%","16.42","16.48","2.06% 1.91%"
"239","HSY","7.99","1.74","3.09","2.02%","14930","1.21B","S&P 500","32.21B","Yes","2.70","7.85B","Yes","0.90","2.46","24.86","1.72","19.12","88.01","26.60","44.91","4.10","3.06","0.50","-0.74%","Oct 24 BMO","5.74","8.70%","1.60","9.00%","37.60%","57.90%","1.70%","0.90%","-1.17%","45.60%","0.40%","-80.96%","79.20%","0.04%","20.80%","49.70%","15.50%","15.60%","85.10%","22.70%","17.16%","-5.30%","54.92%","99.15 - 162.20","1.16M","0.52","46.00","-","3.68","-","210.91M","147.43","441,770","2.60","0.07","0.57%","30.58%","-0.21%","5.20%","-2.28%","44.77%","42.50%","152.73","153.60","1.64% 1.46%"
"240","HUM","87.90","35.38","2.20","0.77%","41600","2.53B","S&P 500","38.56B","Yes","1.90","60.73B","Yes","-","0.50","15.25","0.37","3.25","8.07","15.42","1542.42","0.63","1.17","-","8.63%","Nov 06 BMO","18.51","13.19%","4.58","10.00%","382.60%","-29.80%","6.60%","13.90%","3.95%","-","0.20%","-2.64%","95.30%","0.23%","5.70%","11.10%","4.10%","9.10%","23.10%","12.00%","5.10%","-19.34%","27.21%","225.65 - 355.88","1.04M","1.53","64.67","1.70%","2.19","134.82M","135.06M","328.95","1,172,246","6.93","0.80","0.55%","18.62%","4.53%","1.36%","9.32%","-13.05%","-0.34%","285.50","287.06","2.23% 2.40%"
"241","IBM","19.91","52.22","6.48","4.83%","350600","10.84B","DJIA S&P500","118.99B","Yes","2.60","77.86B","Yes","1.80","4.14","9.99","3.31","6.74","2.57","11.18","15.55","1.53","5.14","1.80","-5.87%","Oct 16 AMC","12.01","2.17%","2.67","-5.20%","8.60%","-2.00%","-4.10%","-4.20%","-3.97%","46.90%","0.11%","-0.69%","58.70%","0.21%","15.50%","65.10%","11.20%","6.60%","49.40%","17.20%","-3.07%","-12.73%","26.00%","105.94 - 152.95","3.95M","1.57","34.84","1.71%","3.84","884.99M","886.27M","153.05","4,540,564","2.77","1.36","-0.58%","-4.33%","-5.60%","-10.30%","-4.87%","-7.48%","18.11%","134.26","133.48","1.38% 1.57%"
"242","ICE","30.40","-","1.10","1.17%","5161","2.01B","S&P 500","53.29B","Yes","1.90","5.08B","Yes","1.00","0.46","22.40","0.38","3.10","-","26.75","27.57","10.50","2.95","1.00","1.37%","Oct 31 BMO","3.53","9.06%","0.95","34.70%","6.50%","15.10%","25.50%","4.20%","1.95%","-","0.20%","-22.86%","93.40%","0.19%","51.70%","27.90%","39.90%","2.20%","11.90%","8.40%","13.11%","-1.19%","35.49%","69.69 - 95.56","2.02M","0.68","56.18","1.08%","2.96","551.57M","565.19M","99.65","999,181","1.62","0.48","0.15%","18.06%","1.02%","3.87%","-0.49%","25.82%","25.16%","94.28","94.42","1.38% 1.58%"
"243","IDXX","1.99","-","-","-","8377","409.40M","S&P 500","24.32B","Yes","1.80","2.29B","Yes","1.20","4.97","50.72","3.50","141.77","-","60.53","86.44","10.62","3.11","0.80","3.10%","Oct 31 BMO","4.66","19.45%","1.14","19.80%","16.90%","30.50%","10.00%","6.80%","2.31%","56.50%","1.30%","-9.94%","90.00%","0.51%","23.10%","0.00%","17.80%","25.10%","769.60%","46.40%","14.61%","-3.29%","60.44%","176.11 - 292.17","380.51K","0.55","58.71","1.36%","3.04","84.76M","86.22M","291.67","152,556","5.89","0.78","0.15%","29.13%","3.45%","-0.90%","3.63%","24.95%","51.67%","282.13","282.55","1.64% 1.98%"
"244","IEX","27.99","7.32","2.00","1.25%","7352","423.00M","S&P 500","11.85B","Yes","2.60","2.50B","Yes","3.40","0.40","26.05","0.40","5.70","21.81","29.00","38.34","4.74","2.23","2.50","0.61%","Oct 29 AMC","5.50","13.00%","1.46","11.10%","7.50%","20.00%","4.20%","1.20%","-1.55%","45.20%","0.40%","-47.03%","97.15%","1.76%","23.50%","31.70%","17.10%","12.00%","20.80%","15.70%","3.33%","-7.70%","36.31%","117.72 - 173.84","749.93K","0.28","49.73","1.91%","1.90","74.24M","74.24M","166.40","155,382","3.08","1.23","0.53%","3.29%","-6.34%","-2.95%","2.27%","16.67%","26.41%","159.61","160.46","1.60% 1.78%"
"245","IFF","55.35","3.81","3.00","2.51%","13000","390.60M","S&P 500","13.38B","Yes","2.70","4.72B","Yes","2.60","0.73","17.95","0.71","2.16","31.35","31.80","195.30","2.84","8.37","1.60","-1.36%","Nov 04 AMC","3.76","3.80%","1.54","-0.20%","-3.70%","-22.30%","6.10%","40.40%","0.22%","41.50%","0.20%","-5.60%","97.60%","0.50%","12.30%","81.80%","7.60%","2.90%","6.40%","4.40%","-10.99%","-23.17%","12.06%","104.86 - 152.95","1.21M","0.54","48.60","12.64%","11.12","106.39M","112.00M","134.00","481,379","2.84","0.87","-1.63%","-12.17%","-2.88%","-16.13%","3.00%","-13.15%","-11.04%","119.45","117.50","1.55% 2.31%"
"246","ILMN","29.47","21.59","-","-","7300","949.00M","S&P 500","45.65B","Yes","2.10","3.40B","Yes","6.80","0.26","44.48","0.26","10.54","14.39","48.97","65.12","13.41","3.14","6.10","2.63%","Oct 24 AMC","6.34","15.60%","1.41","44.40%","40.70%","-5.10%","18.60%","1.00%","5.72%","68.90%","0.30%","-20.22%","94.20%","0.47%","26.50%","0.00%","27.60%","13.40%","24.10%","13.60%","0.21%","-18.74%","17.50%","263.30 - 380.76","1.02M","0.43","57.06","2.29%","3.30","146.56M","147.00M","329.25","323,462","7.81","1.03","-0.37%","-2.66%","2.49%","5.92%","4.15%","-4.91%","3.54%","310.55","309.39","1.73% 2.52%"
"247","INCY","10.47","7.92","-","-","1367","305.90M","S&P 500","16.58B","Yes","2.20","2.01B","Yes","5.60","0.02","25.25","0.02","7.40","9.77","54.91","34.83","8.26","1.23","5.60","2.85%","Oct 29 BMO","1.41","44.67%","0.64","23.80%","98.80%","133.20%","39.60%","1.60%","-1.03%","95.90%","0.40%","-12.61%","97.40%","0.22%","14.20%","0.00%","15.20%","11.30%","15.20%","6.30%","-3.24%","-12.71%","36.75%","57.00 - 89.30","1.14M","0.56","51.55","2.33%","4.38","213.83M","214.08M","93.65","463,048","2.14","0.95","0.67%","4.69%","-1.41%","-3.86%","2.19%","19.29%","21.76%","77.43","77.95","2.03% 2.88%"
"248","INFO","20.53","0.31","-","-","14900","376.40M","S&P 500","27.81B","Yes","2.10","4.36B","Yes","0.70","0.61","24.25","0.61","3.40","224.12","75.69","24.64","6.38","6.28","0.70","4.11%","Sep 24 BMO","0.92","12.06%","0.60","1.90%","-62.20%","-1.50%","30.40%","11.10%","5.70%","62.00%","0.30%","-34.62%","99.20%","0.45%","21.00%","0.00%","8.70%","2.40%","4.60%","4.50%","18.53%","0.28%","57.42%","44.52 - 69.89","1.96M","0.61","67.13","2.64%","5.02","373.53M","398.99M","71.20","882,384","1.09","0.77","0.54%","26.72%","2.76%","7.16%","2.56%","32.78%","45.32%","69.71","70.08","1.25% 1.51%"
"249","INTC","16.78","2.67","1.26","2.43%","107400","19.63B","DJIA S&P500","231.61B","Yes","3.00","70.39B","Yes","1.50","0.38","11.67","0.33","3.09","19.39","12.15","28.61","3.29","1.66","1.00","1.04%","Oct 24 AMC","4.27","7.33%","1.24","18.50%","-9.10%","42.30%","6.10%","-2.70%","4.11%","60.50%","0.05%","-3.18%","68.90%","0.38%","31.80%","28.20%","28.10%","15.30%","26.80%","20.60%","3.19%","-13.58%","21.58%","42.36 - 59.59","21.21M","0.67","54.27","1.14%","2.37","4.43B","4.47B","53.13","10,328,292","1.13","0.92","-0.69%","-11.34%","0.23%","3.16%","1.47%","12.89%","10.51%","51.86","51.50","1.79% 2.10%"
"250","INTU","14.42","10.64","2.12","0.80%","9400","1.56B","S&P 500","68.67B","Yes","2.20","6.78B","Yes","1.80","0.12","31.27","0.10","18.48","25.06","45.21","39.31","10.12","3.20","1.80","-1.51%","Nov 21 AMC","5.90","14.12%","0.25","15.00%","-8.30%","18.40%","9.80%","15.00%","-3.56%","82.80%","0.20%","-52.99%","91.10%","1.01%","27.30%","30.10%","23.00%","26.50%","46.50%","36.60%","2.99%","-11.24%","43.76%","182.61 - 295.77","1.26M","0.83","43.47","0.93%","1.85","249.46M","257.63M","280.56","762,763","5.85","1.10","-1.50%","3.40%","-0.65%","-4.58%","-0.37%","24.01%","35.40%","266.53","262.52","1.88% 2.12%"
"251","IP","18.79","1.98","2.05","4.90%","53000","1.58B","S&P 500","16.67B","Yes","2.60","23.16B","Yes","1.50","1.43","10.65","1.34","2.23","21.19","10.75","11.30","0.72","-","1.00","4.49%","Oct 31 BMO","3.90","-1.77%","0.99","0.70%","-28.40%","84.60%","-0.20%","-2.80%","5.99%","33.00%","0.20%","-8.45%","85.10%","0.58%","11.50%","49.90%","6.90%","4.70%","21.70%","12.90%","-2.88%","-12.10%","16.33%","36.45 - 48.24","3.40M","0.59","62.47","3.27%","3.77","391.80M","398.20M","46.42","1,475,066","1.00","1.53","1.27%","-5.76%","1.65%","-3.17%","4.08%","-3.50%","3.74%","41.87","42.40","1.98% 2.20%"
"252","IPG","6.28","1.59","0.94","4.53%","54000","648.70M","S&P 500","8.02B","Yes","2.70","10.03B","Yes","1.00","1.56","10.35","1.47","3.31","13.06","12.50","10.23","0.80","2.02","1.00","-0.60%","Oct 22 BMO","1.66","6.20%","0.47","21.30%","15.70%","14.00%","6.40%","5.40%","-0.09%","14.80%","0.40%","-22.89%","-","0.58%","10.00%","52.70%","6.50%","4.20%","28.00%","12.20%","-5.81%","-17.69%","5.62%","19.56 - 25.10","3.45M","0.55","49.17","5.45%","6.07","384.58M","386.20M","25.00","1,400,029","0.50","1.13","-0.53%","-8.30%","-3.08%","-8.90%","4.74%","-5.76%","0.68%","20.77","20.66","2.26% 2.18%"
"253","IPGP","44.62","20.52","-","-","6220","316.30M","S&P 500","6.86B","Yes","2.00","1.37B","Yes","8.40","0.02","22.45","0.02","3.02","6.58","23.10","50.36","5.02","8.56","6.50","2.35%","Oct 29 BMO","5.84","2.70%","1.22","20.70%","-39.30%","4.90%","17.60%","-12.00%","3.79%","50.60%","14.80%","-0.38%","67.70%","0.56%","27.80%","0.00%","22.20%","11.60%","13.40%","18.00%","-4.70%","-26.20%","28.48%","104.64 - 182.17","447.90K","0.32","53.21","9.22%","7.30","35.46M","50.83M","172.51","104,369","5.37","2.17","-0.38%","-23.10%","-3.05%","2.55%","3.84%","-3.87%","19.12%","134.95","134.44","4.09% 3.54%"
"254","IQV","33.25","5.11","-","-","58000","212.00M","S&P 500","27.87B","Yes","1.80","10.71B","Yes","1.10","1.75","19.77","1.73","4.31","28.04","137.18","39.37","2.60","9.53","1.10","-3.27%","Oct 21 BMO","1.05","14.40%","1.57","-9.50%","2.90%","-23.00%","15.30%","6.70%","-5.36%","34.90%","0.50%","-","91.80%","-0.65%","7.40%","0.00%","2.30%","1.10%","3.70%","3.60%","0.00%","-12.53%","36.85%","104.90 - 164.13","1.25M","0.78","37.05","2.52%","3.71","183.71M","194.43M","176.19","708,698","3.48","0.90","0.15%","7.77%","-6.58%","-8.02%","-1.06%","10.60%","23.40%","143.35","143.56","1.91% 2.38%"
"255","IR","29.45","3.62","2.12","1.81%","49000","1.43B","S&P 500","28.29B","Yes","2.20","16.03B","Yes","1.20","0.81","16.64","0.69","3.97","32.31","20.19","48.13","1.76","1.92","0.80","-0.87%","Oct 29 BMO","5.79","10.52%","1.91","21.00%","3.90%","6.60%","4.90%","3.90%","-1.53%","31.10%","0.30%","-18.91%","83.70%","0.41%","12.50%","36.30%","8.90%","7.40%","20.10%","14.60%","2.50%","-8.35%","38.11%","85.15 - 128.31","1.19M","0.74","47.78","1.03%","2.09","240.67M","242.10M","132.56","639,654","2.05","1.25","0.63%","3.61%","-5.70%","-6.29%","2.43%","18.34%","28.09%","116.86","117.60","1.37% 1.70%"
"256","IRM","5.78","0.56","2.44","7.45%","26200","358.80M","S&P 500","9.43B","Yes","2.60","4.24B","Yes","0.80","5.18","29.08","5.11","5.67","58.18","26.24","-","2.22","7.29","0.80","3.61%","Oct 31 BMO","1.25","3.60%","0.30","23.10%","-0.10%","88.70%","6.90%","0.60%","3.83%","57.10%","0.80%","-2.73%","88.60%","0.22%","17.40%","199.60%","8.20%","2.70%","19.20%","7.10%","0.61%","-10.80%","13.70%","29.28 - 37.32","2.32M","1.76","63.66","13.21%","16.01","281.46M","287.64M","35.09","2,992,368","0.53","0.54","1.59%","-8.82%","1.93%","9.02%","1.46%","1.93%","1.11%","32.77","33.29","1.17% 1.65%"
"257","ISRG","62.96","23.56","-","-","5527","1.19B","S&P 500","61.09B","Yes","2.00","4.04B","Yes","5.00","0.00","38.62","0.00","8.41","22.47","52.89","60.63","15.12","4.23","4.40","7.20%","Oct 17 AMC","10.01","12.51%","2.99","11.20%","20.80%","11.70%","10.50%","20.90%","9.59%","69.50%","0.70%","-6.21%","90.10%","0.24%","31.10%","0.00%","29.90%","15.20%","17.80%","15.70%","8.17%","-4.17%","31.27%","430.24 - 589.32","602.44K","3.91","68.73","2.03%","3.84","114.12M","115.40M","584.20","1,723,701","11.49","1.14","6.68%","0.25%","-0.26%","0.11%","3.55%","-2.49%","10.54%","529.40","564.77","1.63% 2.16%"
